,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
62,150A103BE2110,1.0,41,特设,2,62,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
63,150A103BE2120,2.0,41,特设,2,63,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
64,150A103BE2130.01,4.0,41,特设,2,64,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
65,150A103BE2140,3.0,41,特设,2,65,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
66,150A103BE3010,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,66,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
67,150A103BE3020,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,67,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
68,150A103BE3030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,68,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
69,150A103BK0010,3.0,,机械,4,69,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
70,150A103BL0010,2.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,70,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
71,150A103BL0015,2.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,71,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
72,150A103BL0020,2.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,3,72,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73,150A103BL0030,6.0,"44,70,71,72,75,78,81,84,85,86",结构,4,73,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
74,150A103BL0040,3.0,"44,70,71,72,75,78,81,84,85,86",结构,2,74,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
