componet_no,group_id,length,width,material_no,material_width,materail_length
225A8140-070-005,73,1235,515,110000000631,1320,4000
225A8140-070-007,73,1336,616,110000000631,1320,4000
225A8140-080-005-0,74,954,304,110000000631,1320,4000
225A8140-080-005-1,74,954,304,110000000631,1320,4000
225A8140-090-005-0,75,1164,344,110000000631,1320,4000
225A8140-090-005-1,75,1164,344,110000000631,1320,4000
225A8140-110-005-0,76,1284,344,110000000631,1320,4000
225A8140-110-005-1,76,1284,344,110000000631,1320,4000
225A8140-120-005,77,464,204,110000000631,1320,4000
225A8140-130-005,78,905,415,110000000631,1320,4000
225A8140-130-007,78,1006,516,110000000631,1320,4000
225A8140-130-006,78,905,415,110000000631,1320,4000
225A8140-130-008,78,1006,516,110000000631,1320,4000
225A8140-140-005,79,1235,505,110000000631,1320,4000
225A8140-140-007,79,1336,606,110000000631,1320,4000
225A8140-140-006,79,1235,505,110000000631,1320,4000
225A8140-140-008,79,1336,606,110000000631,1320,4000
225A8150-010-005,80,575,455,110000000631,1320,4000
225A8150-010-007,80,676,556,110000000631,1320,4000
225A8150-020-005,81,715,625,110000000631,1320,4000
225A8150-020-007,81,816,726,110000000631,1320,4000
225A8150-030-005,82,575,455,110000000631,1320,4000
225A8150-030-007,82,676,556,110000000631,1320,4000
225A8210-010-003-0,83,875,465,110000000331,1320,4000
225A8210-010-003-1,83,875,465,110000000331,1320,4000
225A8210-010-005-0,83,1027,617,110000000331,1320,4000
225A8210-010-005-1,83,1027,617,110000000331,1320,4000
225A8210-020-003-0,84,860,465,110000000331,1320,4000
225A8210-020-003-1,84,860,465,110000000331,1320,4000
225A8210-020-005-0,84,1012,617,110000000331,1320,4000
225A8210-020-005-1,84,1012,617,110000000331,1320,4000
225A8210-030-003-0,85,377,269,110000000331,1320,4000
225A8210-030-003-1,85,377,269,110000000331,1320,4000
225A8210-040-003-0,86,465,305,110000000331,1320,4000
225A8210-040-003-1,86,465,305,110000000331,1320,4000
225A8210-040-005-0,86,617,457,110000000331,1320,4000
225A8210-040-005-1,86,617,457,110000000331,1320,4000
225A8210-050-003,87,303,255,110000000331,1320,4000
225A8210-050-005,87,455,407,110000000331,1320,4000
225A8210-060-003,88,255,222,110000000331,1320,4000
225A8210-060-005,88,407,374,110000000331,1320,4000
225A8210-070-003,89,368,255,110000000331,1320,4000
225A8210-070-005,89,520,407,110000000331,1320,4000
225A8210-080-003,90,255,218,110000000331,1320,4000
225A8210-080-005,90,407,370,110000000331,1320,4000
225A8210-090-003,91,365,245,110000000331,1320,4000
225A8210-090-005,91,517,397,110000000331,1320,4000
225A8210-110-003,92,285,165,110000000331,1320,4000
225A8210-110-005,92,437,317,110000000331,1320,4000
225A8210-120-003,93,285,235,110000000331,1320,4000
225A8210-120-005,93,437,387,110000000331,1320,4000
225A8210-130-003,94,365,295,110000000331,1320,4000
225A8210-130-005,94,517,447,110000000331,1320,4000
225A8210-140-003,95,295,185,110000000331,1320,4000
225A8210-140-005,95,447,337,110000000331,1320,4000
225A8210-150-003,96,295,185,110000000331,1320,4000
225A8210-150-005,96,447,337,110000000331,1320,4000
225A8210-160-003,97,253,193,110000000331,1320,4000
225A8210-160-005,97,405,345,110000000331,1320,4000
225A8210-170-003,98,345,253,110000000331,1320,4000
225A8210-170-005,98,497,405,110000000331,1320,4000
225A8210-180-003,99,368,253,110000000331,1320,4000
225A8210-180-005,99,520,405,110000000331,1320,4000
225A8210-190-003,100,294,165,110000000331,1320,4000
225A8210-190-005,100,446,317,110000000331,1320,4000
225A8210-210-003,101,294,181,110000000331,1320,4000
225A8210-210-005,101,446,333,110000000331,1320,4000
225A8210-220-003,102,294,231,110000000331,1320,4000
225A8210-220-005,102,446,383,110000000331,1320,4000
225A8210-230-003,103,294,166,110000000331,1320,4000
225A8210-230-005,103,446,318,110000000331,1320,4000
225A8210-240-003,104,380,294,110000000331,1320,4000
225A8210-240-005,104,532,446,110000000331,1320,4000
225A8210-250-003,105,851,475,110000000331,1320,4000
225A8210-250-005,105,1003,627,110000000331,1320,4000
225A8210-260-003-0,106,859,465,110000000631,1320,4000
225A8210-260-003-1,106,859,465,110000000631,1320,4000
225A8210-260-005-0,106,1011,617,110000000631,1320,4000
225A8210-260-005-1,106,1011,617,110000000631,1320,4000
225A8210-270-003,107,776,465,110000000631,1320,4000
225A8210-270-005,107,928,617,110000000631,1320,4000
225A8210-280-003,108,364,256,110000000631,1320,4000
225A8210-290-003-0,109,465,377,110000000631,1320,4000
225A8210-290-003-1,109,465,377,110000000631,1320,4000
225A8210-290-005-0,109,617,529,110000000631,1320,4000
225A8210-290-005-1,109,617,529,110000000631,1320,4000
225A8210-310-003,110,320,255,110000000631,1320,4000
225A8210-310-005,110,472,407,110000000631,1320,4000
225A8210-320-003,111,322,255,110000000631,1320,4000
225A8210-320-005,111,474,407,110000000631,1320,4000
225A8210-330-003,112,325,255,110000000631,1320,4000
225A8210-330-005,112,477,407,110000000631,1320,4000
225A8210-340-003,113,323,255,110000000631,1320,4000
225A8210-340-005,113,475,407,110000000631,1320,4000
225A8210-350-003,114,365,275,110000000631,1320,4000
225A8210-350-005,114,517,427,110000000631,1320,4000
225A8210-360-003,115,365,225,110000000631,1320,4000
225A8210-360-005,115,517,377,110000000631,1320,4000
225A8210-370-003,116,365,225,110000000631,1320,4000
225A8210-370-005,116,517,377,110000000631,1320,4000
225A8210-380-003,117,365,295,110000000631,1320,4000
225A8210-380-005,117,517,447,110000000631,1320,4000
225A8210-390-003,118,364,255,110000000631,1320,4000
225A8210-420-003,119,364,258,110000000631,1320,4000
225A8210-430-003,120,655,465,110000000631,1320,4000
225A8210-430-005,120,807,617,110000000631,1320,4000
225A8210-440-003,121,305,253,110000000631,1320,4000
225A8210-440-005,121,457,405,110000000631,1320,4000
225A8210-450-003,122,325,253,110000000631,1320,4000
225A8210-450-005,122,477,405,110000000631,1320,4000
225A8210-460-003,123,362,253,110000000631,1320,4000
225A8210-460-005,123,514,405,110000000631,1320,4000
225A8210-470-003,124,312,299,110000000631,1320,4000
225A8210-470-005,124,464,451,110000000631,1320,4000
225A8210-480-003,125,380,301,110000000631,1320,4000
225A8210-480-005,125,532,453,110000000631,1320,4000
225A8210-490-003,126,383,294,110000000631,1320,4000
225A8210-490-005,126,535,446,110000000631,1320,4000
225A8210-510-003,127,583,275,110000000631,1320,4000
225A8210-510-005,127,735,427,110000000631,1320,4000
225A8210-520-003,128,361,275,110000000631,1320,4000
225A8210-520-005,128,513,427,110000000631,1320,4000
225A8210-530-003,129,650,464,110000000631,1320,4000
225A8210-530-005,129,802,616,110000000631,1320,4000
225A8210-540-003,130,689,475,110000000631,1320,4000
